"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","AdjEM_SOS","OppO","OppD","AdjEM_NCSOS","Year"
"265","Cornell","Ivy","12-16",-8.9,104.7,113.6,69.2,0.057,-3.19,103.5,106.6,-1.84,2018
"266","New Orleans","Slnd","16-17",-8.95,98.5,107.4,66.1,0.047,-4.84,101.6,106.5,11.06,2018
"267","Brown","Ivy","11-16",-9.16,100.8,110,71.7,0.004,-5.54,102.4,108,-7.07,2018
"268","UC Riverside","BW","9-22",-9.17,94.5,103.7,68.3,-0.067,-1.31,103.8,105.1,1.76,2018
"269","Prairie View A&M","SWAC","16-18",-9.2,101.4,110.6,70.8,0.01,-7.94,100,107.9,10.43,2018
"270","Montana St.","BSky","13-19",-9.27,102.1,111.3,69.7,0.026,-2.85,104.5,107.4,-1.88,2018
"271","Pepperdine","WCC","6-26",-9.51,105,114.5,67.5,-0.056,1.09,106.3,105.2,-0.68,2018
"272","Portland","WCC","10-22",-9.66,99,108.7,67.1,-0.001,1.2,106.5,105.3,0.61,2018
"273","Morehead St.","OVC","8-21",-9.96,99,109,68.5,-0.069,-0.74,104.7,105.5,7.6,2018
"274","Fairleigh Dickinson","NEC","13-18",-10.16,102.2,112.4,70.5,0.025,-5.59,102.1,107.7,5.93,2018
"275","Lafayette","Pat","10-21",-10.17,101.8,112,68.3,-0.097,-6.55,101.5,108.1,-2.8,2018
"276","UMKC","WAC","10-22",-10.32,98.2,108.5,69.3,-0.009,-0.19,104.8,105,1.93,2018
"277","Santa Clara","WCC","11-20",-10.34,99.2,109.5,64.6,0.018,-1.33,105.2,106.6,-6.82,2018
"278","New Hampshire","AE","10-21",-10.35,98.2,108.5,65.4,-0.069,-4.86,102.4,107.2,-4.07,2018
"279","South Florida","Amer","10-22",-10.45,98.8,109.3,64.6,-0.013,-1.73,103.6,105.3,-11.64,2018
"280","Quinnipiac","MAAC","12-21",-10.46,101.7,112.2,66.5,0.079,-4.19,103.1,107.3,-3.84,2018
"281","Arkansas St.","SB","11-21",-10.56,104.5,115.1,69.5,0.017,-2.27,102.9,105.1,-2.75,2018
"282","North Florida","ASun","14-19",-10.65,107.7,118.4,73.6,0.074,-0.86,104.7,105.6,9.82,2018
"283","Nebraska Omaha","Sum","9-22",-10.67,104.1,114.7,69.8,0.012,1.8,106.9,105.1,4.31,2018
"284","IUPUI","Horz","11-19",-10.72,98.3,109,66.1,0.03,-3.2,103.2,106.4,2.32,2018
"285","Sacramento St.","BSky","7-25",-10.77,99.8,110.6,65.6,-0.067,0.05,105.5,105.5,3.32,2018
"286","Eastern Kentucky","OVC","11-20",-10.96,101.7,112.6,68.6,0.017,-2.5,103.2,105.7,1.19,2018
"287","UMass Lowell","AE","12-18",-11,103.6,114.6,71.6,0.002,-6.84,100.8,107.6,-9.71,2018
"288","Bethune Cookman","MEAC","18-14",-11.05,99.5,110.6,76,0.025,-13.38,97.2,110.6,-5.09,2018
"289","Rice","CUSA","7-24",-11.09,99,110.1,67.5,-0.041,0.21,104.2,104,1.04,2018
"290","Holy Cross","Pat","12-19",-11.36,97.5,108.9,62.9,0.026,-6.02,101.8,107.8,-3.43,2018
"291","McNeese St.","Slnd","12-17",-11.47,100.6,112.1,70.4,-0.025,-5.05,101.5,106.5,7.74,2018
"292","Fordham","A10","9-22",-11.63,94.5,106.1,66,0.009,-0.38,104.5,104.9,-5.39,2018
"293","Western Illinois","Sum","12-16",-11.65,96.1,107.7,68.1,0.006,-2.21,104.8,107.1,-6.56,2018
"294","Tennessee Martin","OVC","10-21",-11.66,95.5,107.2,66.1,-0.019,-4.41,103.2,107.6,-2.8,2018
"295","Grambling St.","SWAC","17-14",-11.71,94.3,106,72.2,0.102,-9.87,98.8,108.7,3.07,2018
"296","Little Rock","SB","7-25",-11.91,93.8,105.7,65,-0.058,-1.35,104.1,105.4,-0.37,2018
"297","Binghamton","AE","11-20",-11.93,97.4,109.4,66.1,-0.061,-6.88,101,107.9,-8.65,2018
"298","Samford","SC","10-22",-12,107.7,119.7,71.2,-0.036,-2.09,103.5,105.6,3.84,2018
"299","Dartmouth","Ivy","7-20",-12.09,98.5,110.6,66.8,-0.043,-3.61,103.5,107.1,-2.86,2018
"300","Cleveland St.","Horz","12-23",-12.14,97.9,110,67.1,0.032,-3.64,102.8,106.5,-1.36,2018
"301","San Jose St.","MWC","4-26",-12.27,95.4,107.7,67.1,-0.03,3.05,107.2,104.2,-0.88,2018
"302","Western Carolina","SC","13-19",-12.3,95.7,108,69.4,0.102,-0.66,105.1,105.8,5.22,2018
"303","Siena","MAAC","8-24",-12.38,96.5,108.9,65.7,-0.015,-3.01,104,107,0.49,2018
"304","Chattanooga","SC","10-23",-12.53,99.2,111.8,65.5,-0.024,-3.39,103.4,106.8,-2.1,2018
"305","Sacred Heart","NEC","10-21",-12.57,96,108.6,68.4,-0.076,-8.04,100.9,109,-3.94,2018
"306","North Carolina A&T","MEAC","20-15",-12.68,98.1,110.8,69.3,0.098,-11.8,98.7,110.5,-1.27,2018
"307","East Carolina","Amer","10-20",-12.78,96.7,109.5,68.7,0.026,-2.46,102.9,105.3,-16.35,2018
"308","Charlotte","CUSA","6-23",-12.81,99.3,112.1,71.2,-0.024,0.17,104.6,104.4,-3.21,2018
"309","Kennesaw St.","ASun","10-20",-12.82,98.9,111.8,68.5,-0.023,-4.51,103.7,108.2,2.54,2018
"310","Central Connecticut","NEC","14-18",-12.85,98,110.8,64.5,0.066,-7.33,100.9,108.2,-3.69,2018
"311","Texas A&M Corpus Chris","Slnd","11-18",-12.88,94.5,107.4,68.2,-0.015,-6.14,100.9,107.1,4.54,2018
"312","Norfolk St.","MEAC","14-19",-13.14,95.4,108.6,69,0.002,-11,98.9,109.9,0.76,2018
"313","St. Francis NY","NEC","13-18",-13.17,98.7,111.8,69.2,0.022,-7.33,101.1,108.4,-2.35,2018
"314","Stetson","ASun","12-20",-13.27,98.5,111.8,69.8,-0.041,-6.49,102.1,108.6,-4.23,2018
"315","The Citadel","SC","11-21",-13.33,101.6,114.9,77.2,0.062,-2.58,103.5,106.1,0.98,2018
"316","North Carolina Central","MEAC","19-16",-13.41,96.6,110,65,0.019,-12.78,98.4,111.2,-1.47,2018
"317","Savannah St.","MEAC","15-17",-13.55,100.9,114.5,82.3,0.108,-6.81,101.2,108,15.2,2018
"318","SIU Edwardsville","OVC","9-21",-13.61,99.4,113,69.2,0.069,-2.94,103.4,106.4,-1.32,2018
"319","Detroit","Horz","8-24",-14.2,102.6,116.8,72.4,-0.011,-2.07,103.6,105.7,4.64,2018
"320","Jacksonville","ASun","15-18",-14.27,94.2,108.4,68.6,0.06,-6.82,102.3,109.1,-3.11,2018
"321","Marist","MAAC","6-25",-14.47,98.5,112.9,69.6,-0.048,-4.24,103.4,107.6,-3.4,2018
"322","Youngstown St.","Horz","8-24",-14.56,101.4,115.9,71.1,-0.01,-1.7,103.2,104.9,5.26,2018
"323","Loyola MD","Pat","9-22",-14.58,96.2,110.8,68.4,0.02,-5.37,102.6,108,-1.61,2018
"324","Morgan St.","MEAC","13-19",-14.82,96.3,111.1,68.9,-0.06,-11.95,98.6,110.5,0.36,2018
"325","Cal Poly","BW","9-22",-14.98,98.2,113.2,66.2,0.051,-1.41,103.8,105.2,0.51,2018
"326","Southern","SWAC","15-18",-15.51,94.3,109.8,68,0.051,-11.24,98.1,109.3,6.62,2018
"327","Northern Arizona","BSky","5-27",-16.02,93.5,109.5,68.6,-0.03,0.26,105.3,105,3.45,2018
"328","American","Pat","6-24",-16.14,95.6,111.8,66.5,-0.061,-6.16,102.1,108.3,-3.16,2018
"329","Arkansas Pine Bluff","SWAC","14-21",-16.45,93.6,110,67.5,0.044,-9.64,98.9,108.5,3.38,2018
"330","Cal St. Northridge","BW","6-24",-16.46,96.7,113.2,65.8,-0.047,-3.23,102.8,106,-3.5,2018
"331","VMI","SC","9-21",-17.43,89.9,107.4,68.8,0.024,-3.79,104.1,107.9,-2.5,2018
"332","Maine","AE","6-26",-17.46,90.9,108.4,71.3,-0.002,-2.82,103.5,106.3,-1.56,2018
"333","Houston Baptist","Slnd","6-25",-17.64,98.9,116.5,73.5,-0.092,-3.59,102.5,106.1,9.29,2018
"334","Presbyterian","BSth","11-21",-17.66,97.8,115.5,63.4,0.062,-5.21,101.7,106.9,-3.37,2018
"335","Howard","MEAC","10-23",-19.04,99.4,118.5,69.9,-0.039,-9.5,99.6,109.1,2.28,2018
"336","Alcorn St.","SWAC","11-21",-19.43,95,114.4,68,-0.055,-9.05,99.6,108.7,9.81,2018
"337","Jackson St.","SWAC","12-20",-19.6,89.4,109,64.1,0.062,-10.01,99.7,109.7,4.32,2018
"338","USC Upstate","ASun","7-25",-19.77,105.2,125,69,-0.051,-3.44,103,106.4,1.76,2018
"339","Alabama St.","SWAC","8-23",-19.86,95.8,115.7,68.8,-0.018,-9.14,99.2,108.4,4.68,2018
"340","Longwood","BSth","7-26",-20.41,89.6,110,69.1,-0.039,-3.96,102.8,106.7,-0.88,2018
"341","Florida A&M","MEAC","9-25",-21.21,95.6,116.8,67.1,0.04,-7.55,101,108.6,6.38,2018
"342","Incarnate Word","Slnd","7-21",-21.6,93.5,115.1,69.7,-0.006,-5.52,101.2,106.7,8.16,2018
"343","South Carolina St.","MEAC","10-22",-21.86,96.9,118.7,70.5,0.03,-8.97,100.1,109.1,4.47,2018
"344","Bryant","NEC","3-28",-22.06,98.7,120.7,70.1,-0.013,-5.3,101.9,107.2,1.28,2018
"345","Northwestern St.","Slnd","4-25",-22.41,88.3,110.7,68.9,-0.08,-3.59,102.6,106.2,7.92,2018
"346","Chicago St.","WAC","3-29",-22.59,96.5,119.1,72.1,-0.063,2.85,106.1,103.3,6.32,2018
"347","Coppin St.","MEAC","5-27",-23.97,86.5,110.5,67.1,-0.026,-7.19,100.8,108,5.62,2018
"348","Mississippi Valley St.","SWAC","4-28",-24.21,90.3,114.5,69.4,-0.032,-7.46,100.3,107.8,7.23,2018
"349","Maryland Eastern Shore","MEAC","7-25",-27.06,90.8,117.8,65.9,-0.018,-7.58,101,108.5,7.48,2018
"350","Delaware St.","MEAC","4-28",-27.94,90.3,118.3,64.9,-0.094,-9.2,99.6,108.8,1.72,2018
"351","Alabama A&M","SWAC","3-28",-28.31,86.6,114.9,65.8,-0.04,-8.1,100.2,108.3,4.85,2018
