"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","AdjEM_SOS","OppO","OppD","AdjEM_NCSOS","Year"
"91","Vanderbilt","SEC","12-20",7.93,115.3,107.3,65.8,-0.08,11.07,110.8,99.7,4.28,2018
"92","Utah Valley","WAC","23-11",7.78,110.8,103,68.1,-0.006,-1.94,102.4,104.4,1.28,2018
"93","East Tennessee St.","SC","25-9",7.49,105.3,97.8,67.6,0,-4.19,103.6,107.7,-1.54,2018
"94","Georgetown","BE","15-15",7.44,109.7,102.3,70.5,-0.046,6.28,108.4,102.1,-17.81,2018
"95","Furman","SC","23-10",7.41,108.9,101.5,68.6,-0.005,-4.53,103.1,107.6,-0.73,2018
"96","Northeastern","CAA","23-10",7.34,107.8,100.5,67,0.03,-1.27,106.1,107.4,4.09,2018
"97","Bucknell","Pat","25-10",7.31,109.5,102.2,71.4,0.006,-4.35,102.8,107.1,5.79,2018
"98","Washington","P12","21-13",7.09,106.6,99.5,69.8,0.075,4.75,108.3,103.5,-0.46,2018
"99","DePaul","BE","11-20",7.03,104.5,97.5,69.8,-0.103,9.79,111.2,101.5,-4.14,2018
"100","Oregon St.","P12","16-16",6.99,108.2,101.3,65.5,-0.083,3.02,107.3,104.3,-7.34,2018
"101","Georgia St.","SB","24-11",6.92,108.8,101.9,66.8,-0.015,-2.51,103.4,105.9,-3.22,2018
"102","Illinois","B10","14-18",6.67,109.6,103,69.9,-0.093,7.32,108.1,100.8,-3.19,2018
"103","Iowa St.","B12","13-18",6.58,109.9,103.4,68.9,-0.009,10.71,110.5,99.7,-3.06,2018
"104","Northern Colorado","BSky","26-12",6.55,107.3,100.8,72.2,-0.023,-1.73,104.4,106.1,1.38,2018
"105","Marshall","CUSA","25-11",6.53,109.4,102.9,74.7,0.06,0.07,105.6,105.5,-7,2018
"106","New Mexico","MWC","19-15",6.52,113.3,106.8,71.3,-0.022,2.7,105.9,103.2,1.41,2018
"107","UNLV","MWC","20-13",6.44,111.4,104.9,72.3,-0.012,0.86,106,105.1,-5.02,2018
"108","Mississippi","SEC","12-20",6.42,111.1,104.7,70,-0.053,9.62,109.7,100,0.9,2018
"109","UAB","CUSA","20-13",6.32,109.6,103.3,67.7,-0.047,-0.93,104.5,105.4,-6.96,2018
"110","Tulsa","Amer","19-12",6.02,108.3,102.3,67.3,0.029,0.68,105.5,104.8,-2.04,2018
"111","UCF","Amer","19-13",5.62,98.9,93.2,64.5,0.062,2.52,106.5,104,-2.5,2018
"112","Stephen F. Austin","Slnd","28-7",5.58,104.5,99,71.1,0.031,-7.16,100.6,107.8,-2.26,2018
"113","Toledo","MAC","23-11",5.31,113.9,108.6,68.4,0.049,-1.94,103.9,105.8,-1.81,2018
"114","Colorado","P12","17-15",5.27,104.9,99.6,67.8,0.068,6.26,110.1,103.8,-0.09,2018
"115","College of Charleston","CAA","26-8",5.16,108.7,103.6,64.9,0.035,-4.06,104.8,108.9,-7.64,2018
"116","Saint Joseph's","A10","16-16",5.15,105.6,100.5,70.5,-0.052,0.77,105.3,104.6,2.17,2018
"117","Minnesota","B10","15-17",5.08,108.7,103.7,69.8,-0.02,6.85,108.8,101.9,-5.09,2018
"118","Wyoming","MWC","20-13",4.99,105.6,100.6,73.5,0.068,3.44,107.2,103.8,2.31,2018
"119","Georgia Tech","ACC","13-19",4.9,103.6,98.7,66.1,-0.022,8.11,108.8,100.6,-5.51,2018
"120","Missouri St.","MVC","18-15",4.81,108.3,103.5,65.5,-0.046,1.05,103.9,102.9,-3.02,2018
"121","Grand Canyon","WAC","22-12",4.53,102.1,97.5,69,-0.066,-6.92,100,106.9,-11.37,2018
"122","Northern Iowa","MVC","16-16",4.51,103.2,98.7,62.7,-0.032,4.58,106.8,102.2,6.04,2018
"123","UC Santa Barbara","BW","23-9",4.27,111.4,107.1,66.7,0.034,-3.86,101.8,105.7,-0.86,2018
"124","Bradley","MVC","20-13",3.98,104.4,100.4,65.8,0.042,1.07,104.7,103.6,-4.52,2018
"125","Penn","Ivy","24-9",3.69,103.1,99.4,68.9,0.076,-4.15,103.7,107.8,-2.98,2018
"126","Idaho","BSky","22-9",3.54,109.2,105.6,65.6,0.039,-3.98,103.1,107.1,-3.07,2018
"127","Florida Gulf Coast","ASun","23-12",3.47,107.5,104,71.6,-0.059,-6.95,102.4,109.3,-0.65,2018
"128","UT Arlington","SB","21-13",3.37,105.5,102.1,72.8,0.009,-1.37,104.2,105.5,-1.2,2018
"129","UC Davis","BW","22-11",3.25,104.1,100.9,66.5,0.041,-1.05,103.7,104.8,4.12,2018
"130","Rutgers","B10","15-19",3.07,99.2,96.2,66,-0.043,5.58,108.2,102.6,-14.27,2018
"131","Canisius","MAAC","21-12",3.05,107.2,104.1,68.9,-0.034,-4.82,102.4,107.2,-2.89,2018
"132","San Diego","WCC","20-14",3.01,103.6,100.6,66.9,-0.014,-0.77,104.5,105.2,-2.63,2018
"133","Wright St.","Horz","25-10",2.89,100.6,97.7,68.3,0.074,-3.79,102.7,106.5,2.23,2018
"134","Evansville","MVC","17-15",2.85,99.3,96.5,65.7,0.015,1.38,105.4,104,-3.48,2018
"135","Southern Illinois","MVC","20-13",2.82,106.1,103.3,66.6,0.073,1.27,104.5,103.3,-4.09,2018
"136","Eastern Washington","BSky","20-15",2.67,107.3,104.6,66.5,-0.004,0.11,105.4,105.2,6.2,2018
"137","Iona","MAAC","20-14",2.63,110,107.3,70.7,-0.008,-2.12,103.1,105.2,2.14,2018
"138","Indiana St.","MVC","13-18",2.63,104.7,102.1,69.9,-0.097,3.13,105.1,102,2.05,2018
"139","Utah St.","MWC","17-17",2.57,107.2,104.7,66.8,-0.014,2.74,106.7,103.9,-0.95,2018
"140","Illinois St.","MVC","18-15",2.39,105.7,103.3,68.9,0.116,4.95,106.1,101.2,6.6,2018
"141","Harvard","Ivy","18-14",2.33,100.6,98.3,65.6,-0.008,-0.97,105.4,106.4,3.27,2018
"142","Jacksonville St.","OVC","23-13",2.32,102.3,100,66.2,-0.005,-4.47,103.6,108.1,-9.38,2018
"143","Eastern Michigan","MAC","22-13",2.31,102.3,100,65.1,-0.006,-2.49,105.4,107.9,-2.23,2018
"144","VCU","A10","18-15",2.28,106.1,103.8,70.9,0.015,0.51,105.3,104.8,1.16,2018
"145","Rider","MAAC","22-10",2.28,109.2,106.9,73.8,0.088,-2.78,103.1,105.9,0.32,2018
"146","North Texas","CUSA","20-18",2.2,105.6,103.4,67.8,-0.048,-0.69,103.5,104.1,-0.5,2018
"147","UC Irvine","BW","18-17",2.11,100.1,98,67,-0.025,1.08,105.6,104.5,8.99,2018
"148","Saint Louis","A10","17-16",2.1,102.1,100,64.1,0.003,1.23,106.8,105.6,1,2018
"149","Louisiana Tech","CUSA","17-16",2.01,106.9,104.9,67.3,-0.067,-0.37,104.1,104.5,-3.36,2018
"150","Valparaiso","MVC","15-17",1.78,103,101.2,69.7,-0.053,1.62,105,103.4,-2.72,2018
"151","Albany","AE","22-10",1.71,107.1,105.4,66.2,0.007,-6.49,101.4,107.9,-5.2,2018
"152","Georgia Southern","SB","21-12",1.65,105.9,104.3,68.9,0.015,-2.52,102.9,105.4,-1.55,2018
"153","Towson","CAA","18-14",1.29,106,104.7,67.9,-0.07,-2.8,104.8,107.6,-2.22,2018
"154","Mercer","SC","19-15",1.27,111.7,110.5,64.3,-0.047,-2.86,102.9,105.8,-0.19,2018
"155","Drake","MVC","17-17",1.09,105.9,104.8,68.4,0.016,2.22,105.4,103.2,-0.38,2018
"156","La Salle","A10","13-19",1.06,104.9,103.8,68.9,-0.072,1.15,105.5,104.4,2.22,2018
"157","Hofstra","CAA","19-12",0.99,111.1,110.1,68.9,0.062,-1.8,105.4,107.2,1.99,2018
"158","San Francisco","WCC","22-17",0.97,102.1,101.1,67.1,0.066,0.06,106.5,106.4,-0.33,2018
"159","Weber St.","BSky","20-11",0.88,106.7,105.8,67.5,0.037,-2.94,103.9,106.8,-0.23,2018
"160","Winthrop","BSth","19-12",0.85,106.1,105.2,71.6,-0.037,-5.51,101.6,107.1,2.13,2018
"161","Memphis","Amer","21-13",0.78,107.5,106.7,66.6,0.135,0.42,104.7,104.2,-6.39,2018
"162","Cal St. Fullerton","BW","20-12",0.62,103.7,103.1,69.6,0.097,-1.2,103.8,105,2.76,2018
"163","Wofford","SC","21-13",0.59,109.1,108.5,66.1,0.043,-2.59,103.7,106.3,2.05,2018
"164","Portland St.","BSky","20-14",0.56,107.9,107.3,74.6,0.022,-0.82,104.9,105.7,3.3,2018
"165","Fort Wayne","Sum","18-15",0.5,107.7,107.2,72.6,-0.072,-2.49,104.4,106.9,-2.21,2018
"166","UMBC","AE","25-11",0.5,103.1,102.6,68.4,0.125,-4.38,102.7,107.1,-3.55,2018
"167","Lipscomb","ASun","23-10",0.43,103.2,102.8,74.9,0.112,-4.31,103.2,107.5,5.84,2018
"168","Central Michigan","MAC","21-15",0.13,110.1,109.9,67.6,-0.022,-3.15,103.4,106.5,-9.32,2018
"169","William & Mary","CAA","19-12",0.09,115.3,115.2,70,0.098,-0.75,105.5,106.3,3.56,2018
"170","Radford","BSth","23-13",0.07,102.9,102.9,63,0.063,-4.03,102.8,106.9,3.49,2018
"171","Tulane","Amer","14-17",0.04,106.9,106.9,69,-0.018,0.76,104.6,103.9,-6.27,2018
"172","Dayton","A10","14-17",0.02,108.4,108.3,66.3,-0.004,1.36,105.6,104.2,1.38,2018
"173","Ball St.","MAC","19-13",-0.08,103.3,103.3,69.9,0.06,-2.07,104.7,106.7,-1.46,2018
"174","UTSA","CUSA","20-15",-0.09,104.7,104.7,71.8,0.038,-1.04,103.9,104.9,1.32,2018
"175","Oakland","Horz","19-14",-0.23,107.4,107.7,70.3,0.011,-4.41,102.5,106.9,1.24,2018
"176","North Dakota St.","Sum","15-17",-0.37,105,105.4,66.5,-0.078,-0.09,106.3,106.4,1.58,2018
"177","Troy","SB","16-17",-0.37,106.2,106.5,68.3,-0.065,-1.18,103.7,104.8,0.04,2018
"178","Pacific","WCC","14-18",-0.43,106.6,107,66.3,-0.016,1.28,105.8,104.6,1.84,2018
"179","Connecticut","Amer","14-18",-0.43,105,105.4,67,0.075,5.89,107.7,101.8,4.87,2018
"180","Wagner","NEC","23-10",-0.6,103,103.6,67.6,0.07,-8.35,101.2,109.5,-0.09,2018
"181","Richmond","A10","12-20",-0.78,107.4,108.1,67.9,-0.022,2.75,106.6,103.8,5.44,2018
"182","Illinois Chicago","Horz","20-16",-0.84,100.9,101.8,72.5,-0.01,-4.11,102.7,106.8,-1.48,2018
"183","Monmouth","MAAC","11-20",-1.21,103.5,104.7,70,-0.112,-0.86,104.8,105.7,5.06,2018
"184","Liberty","BSth","22-15",-1.22,103.9,105.2,63.1,-0.052,-6.7,101.7,108.4,-5.44,2018
"185","Nicholls St.","Slnd","21-11",-1.56,103.3,104.9,73.5,0.037,-5.69,101.9,107.6,4.11,2018
"186","Washington St.","P12","12-19",-1.66,108.4,110,68.2,0.004,4.41,107.2,102.8,-1.75,2018
"187","UNC Asheville","BSth","21-13",-1.91,105.7,107.6,69.4,0.095,-3.36,103.3,106.7,5.59,2018
"188","Western Michigan","MAC","17-15",-2.02,106.2,108.2,67.8,0.01,-1.97,104.4,106.4,-2.51,2018
"189","Austin Peay","OVC","19-15",-2.09,105,107,69.2,0.052,-2.74,103.1,105.8,4.27,2018
"190","Princeton","Ivy","13-16",-2.44,105.3,107.8,64.5,-0.055,-2.02,104.2,106.2,1.98,2018
"191","Long Beach St.","BW","15-18",-2.62,106.1,108.7,71.8,0.027,1.11,104.7,103.5,8.21,2018
"192","George Washington","A10","15-18",-2.66,103.6,106.2,65.8,0.036,0.31,105.3,105,0.16,2018
"193","Ohio","MAC","14-17",-2.74,100.4,103.1,71.3,-0.047,-1.48,104.9,106.4,-1.72,2018
"194","Miami OH","MAC","16-18",-2.82,100.2,103,66.7,0.022,-0.68,104.8,105.5,1.72,2018
"195","Seattle","WAC","20-14",-2.95,103.7,106.7,67.4,0.038,-4.43,101.9,106.4,-5.24,2018
"196","Milwaukee","Horz","16-17",-3.11,100.3,103.4,65.7,-0.023,-4.43,102.3,106.7,-2.02,2018
"197","Yale","Ivy","16-15",-3.18,103.8,107,68.8,0.042,-1.86,104.8,106.7,1.49,2018
"198","Tennessee St.","OVC","15-15",-3.27,97.5,100.8,65.6,0.016,-2.98,103.5,106.5,4.02,2018
"199","Southeastern Louisiana","Slnd","22-12",-3.31,102.6,105.9,65.7,0.118,-5.11,101.6,106.7,1.12,2018
"200","Hawaii","BW","17-13",-3.38,99.1,102.5,67.9,0.034,-4,102.9,106.9,-3.64,2018
"201","Duquesne","A10","16-16",-3.63,104.6,108.2,66.2,-0.059,-6.22,101.2,107.4,-16.97,2018
"202","Colgate","Pat","19-14",-3.72,105,108.7,66.6,0.03,-6.25,101.7,108,-2.44,2018
"203","Lamar","Slnd","19-14",-3.72,101.6,105.3,67.8,-0.059,-6.97,100.5,107.5,-1.75,2018
"204","Sam Houston St.","Slnd","21-15",-3.77,102.1,105.9,67.2,0.04,-4.27,102.3,106.6,4.15,2018
"205","Niagara","MAAC","19-14",-3.99,109.5,113.5,73.7,0.09,-4.08,102.6,106.7,-3.49,2018
"206","Southern Miss","CUSA","16-18",-4.04,105.8,109.9,65.4,0.037,2.4,105.3,102.9,4.36,2018
"207","Massachusetts","A10","13-20",-4.09,106.4,110.5,66.4,-0.013,-0.54,104.3,104.8,-3.17,2018
"208","Appalachian St.","SB","15-18",-4.11,103.4,107.5,70.1,-0.026,-2.58,103,105.6,-0.19,2018
"209","Coastal Carolina","SB","14-18",-4.19,101.8,105.9,67.8,-0.052,-2.25,103.5,105.8,0.76,2018
"210","Denver","Sum","15-15",-4.23,102.6,106.8,66.4,0.026,-2.09,104.6,106.6,-3.34,2018
"211","Kent St.","MAC","17-17",-4.34,102.1,106.4,68.7,0.066,-1.69,104.3,106,-1.86,2018
